Array.Data.File,Ids,samples,organ
GSM662768.CEL.gz,GSM662768,normal,breast
GSM662769.CEL.gz,GSM662769,tumor,breast
GSM662770.CEL.gz,GSM662770,normal,breast
GSM662771.CEL.gz,GSM662771,tumor,breast
GSM662772.CEL.gz,GSM662772,normal,breast
GSM662773.CEL.gz,GSM662773,tumor,breast
GSM662774.CEL.gz,GSM662774,normal,breast
GSM662775.CEL.gz,GSM662775,tumor,breast
GSM662776.CEL.gz,GSM662776,normal,breast
GSM662777.CEL.gz,GSM662777,tumor,breast
GSM662778.CEL.gz,GSM662778,normal,breast
GSM662779.CEL.gz,GSM662779,tumor,breast
